11/08/2019 01:14:13 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 01:14:14 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 01:14:16 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 01:22:43 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 01:22:47 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 02:25:14 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 02:37:40 p.m. 1) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 2) ConnID: 352. ConnidValida: True Name: zoOm UserLogged: True
11/08/2019 02:37:40 p.m. 3) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 4) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 5) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 6) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 7) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 8) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 9) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 10) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 11) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 12) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 13) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 14) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 15) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 16) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 17) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 18) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 19) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 20) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 21) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 22) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 23) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 24) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 25) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 26) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 27) ConnID: -1. ConnidValida: False Name:  UserLogged: False
